zip_code,zip_city,municipal_code,municipal_number
0768,OSLO,0301,OSLO
0770,OSLO,0301,OSLO
0771,OSLO,0301,OSLO
0772,OSLO,0301,OSLO
0773,OSLO,0301,OSLO
0774,OSLO,0301,OSLO
0775,OSLO,0301,OSLO
0776,OSLO,0301,OSLO
0777,OSLO,0301,OSLO
0778,OSLO,0301,OSLO
0779,OSLO,0301,OSLO
0781,OSLO,0301,OSLO
0782,OSLO,0301,OSLO
0783,OSLO,0301,OSLO
0784,OSLO,0301,OSLO
0785,OSLO,0301,OSLO
0786,OSLO,0301,OSLO
0787,OSLO,0301,OSLO
0788,OSLO,0301,OSLO
0789,OSLO,0301,OSLO
0790,OSLO,0301,OSLO
0791,OSLO,0301,OSLO
0801,OSLO,0301,OSLO
0805,OSLO,0301,OSLO
0806,OSLO,0301,OSLO
0807,OSLO,0301,OSLO
0840,OSLO,0301,OSLO
0850,OSLO,0301,OSLO
0851,OSLO,0301,OSLO
0852,OSLO,0301,OSLO
0853,OSLO,0301,OSLO
0854,OSLO,0301,OSLO
0855,OSLO,0301,OSLO
0856,OSLO,0301,OSLO
0857,OSLO,0301,OSLO
0858,OSLO,0301,OSLO
0860,OSLO,0301,OSLO
0861,OSLO,0301,OSLO
0862,OSLO,0301,OSLO
0863,OSLO,0301,OSLO
0864,OSLO,0301,OSLO
0870,OSLO,0301,OSLO
0871,OSLO,0301,OSLO
0872,OSLO,0301,OSLO
0873,OSLO,0301,OSLO
0874,OSLO,0301,OSLO
0875,OSLO,0301,OSLO
0876,OSLO,0301,OSLO
0877,OSLO,0301,OSLO
0880,OSLO,0301,OSLO
0881,OSLO,0301,OSLO
0882,OSLO,0301,OSLO
0883,OSLO,0301,OSLO
0884,OSLO,0301,OSLO
0890,OSLO,0301,OSLO
0891,OSLO,0301,OSLO
0901,OSLO,0301,OSLO
0902,OSLO,0301,OSLO
0903,OSLO,0301,OSLO
0904,OSLO,0301,OSLO
0905,OSLO,0301,OSLO
0907,OSLO,0301,OSLO
0908,OSLO,0301,OSLO
0913,OSLO,0301,OSLO
0914,OSLO,0301,OSLO
0915,OSLO,0301,OSLO
0950,OSLO,0301,OSLO
0951,OSLO,0301,OSLO
0952,OSLO,0301,OSLO
0953,OSLO,0301,OSLO
0954,OSLO,0301,OSLO
0955,OSLO,0301,OSLO
0956,OSLO,0301,OSLO
0957,OSLO,0301,OSLO
0958,OSLO,0301,OSLO
0959,OSLO,0301,OSLO
0960,OSLO,0301,OSLO
0962,OSLO,0301,OSLO
0963,OSLO,0301,OSLO
